,Name,Year,Age,Team,Position,Games,Games Started,Minutes Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percent,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percent,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percent,Effective Field Goal Percent,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percent,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game
0,Jonas Valanciunas,2013,20,TOR,C,62,57,23.9,3.3,5.9,.557,0.0,0.0,,3.3,5.9,.557,.557,2.4,3.0,.789,2.0,4.0,0.7,0.3,1.3,1.5,3.0,8.9
1,Jonas Valanciunas,2014,21,TOR,C,81,81,28.2,4.4,8.3,.531,0.0,0.0,.000,4.4,8.3,.532,.531,2.4,3.2,.762,2.8,6.0,0.7,0.3,0.9,1.7,3.1,11.3
2,Jonas Valanciunas,2015,22,TOR,C,80,80,26.2,4.7,8.2,.572,0.0,0.0,.000,4.7,8.1,.573,.572,2.7,3.5,.786,2.7,6.0,0.5,0.4,1.2,1.4,2.8,12.0
3,Jonas Valanciunas,2016,23,TOR,C,60,59,26.0,5.1,8.9,.565,0.0,0.0,,5.1,8.9,.565,.565,2.7,3.6,.761,3.1,6.1,0.7,0.4,1.3,1.4,2.6,12.8
4,Jonas Valanciunas,2017,24,TOR,C,80,80,25.8,4.9,8.8,.557,0.0,0.0,.500,4.9,8.8,.557,.558,2.2,2.7,.811,2.8,6.7,0.7,0.5,0.8,1.3,2.7,12.0
5,Jonas Valanciunas,2018,25,TOR,C,77,77,22.4,5.1,8.9,.568,0.4,1.0,.405,4.7,8.0,.587,.590,2.2,2.7,.806,2.4,6.2,1.1,0.4,0.9,1.5,2.5,12.7
6,Jonas Valanciunas,2019,26,TOR,C,30,10,18.8,5.0,8.6,.575,0.3,1.0,.300,4.7,7.6,.611,.593,2.6,3.1,.819,1.8,5.4,1.0,0.4,0.8,1.3,2.7,12.8
7,Delon Wright,2016,23,TOR,PG,27,1,8.5,1.3,3.0,.450,0.2,0.5,.385,1.1,2.5,.463,.481,1.0,1.3,.743,0.3,1.1,1.1,0.3,0.1,0.6,0.3,3.8
8,Delon Wright,2017,24,TOR,PG,27,0,16.5,1.8,4.3,.422,0.4,1.1,.333,1.4,3.2,.453,.466,1.6,2.0,.764,0.6,1.2,2.1,1.0,0.4,0.9,1.1,5.6
9,Delon Wright,2018,25,TOR,PG,69,4,20.8,2.9,6.3,.465,0.8,2.2,.366,2.1,4.0,.520,.530,1.4,1.7,.829,0.7,2.2,2.9,1.0,0.5,1.1,1.2,8.0
10,Delon Wright,2019,26,TOR,PG,38,2,18.2,2.4,5.8,.425,0.7,1.9,.338,1.8,3.8,.469,.482,0.8,0.9,.882,0.8,1.7,2.2,0.8,0.3,0.7,1.1,6.3
11,Kawhi Leonard,2012,20,SAS,SF,64,39,24.0,3.1,6.3,.493,0.6,1.7,.376,2.5,4.6,.536,.543,1.1,1.4,.773,1.6,3.5,1.1,1.3,0.4,0.7,1.4,7.9
12,Kawhi Leonard,2013,21,SAS,SF,58,57,31.2,4.5,9.1,.494,1.1,3.0,.374,3.4,6.1,.554,.556,1.8,2.2,.825,1.1,4.9,1.6,1.7,0.6,1.1,1.7,11.9
13,Kawhi Leonard,2014,22,SAS,SF,66,65,29.1,5.1,9.8,.522,1.0,2.8,.379,4.1,7.0,.579,.576,1.5,1.9,.802,1.2,5.1,2.0,1.7,0.8,1.2,1.9,12.8
14,Kawhi Leonard,2015,23,SAS,SF,64,64,31.8,6.2,12.8,.479,1.0,3.0,.349,5.1,9.8,.519,.520,3.2,3.9,.802,1.3,5.9,2.5,2.3,0.8,1.5,2.0,16.5
15,Kawhi Leonard,2016,24,SAS,SF,72,72,33.1,7.7,15.1,.506,1.8,4.0,.443,5.9,11.1,.528,.565,4.1,4.6,.874,1.3,5.5,2.6,1.8,1.0,1.5,1.8,21.2
16,Kawhi Leonard,2017,25,SAS,SF,74,74,33.4,8.6,17.7,.485,2.0,5.2,.380,6.6,12.5,.529,.541,6.3,7.2,.880,1.1,4.7,3.5,1.8,0.7,2.1,1.6,25.5
17,Kawhi Leonard,2018,26,SAS,SF,9,9,23.3,5.8,12.3,.468,1.2,3.9,.314,4.6,8.4,.539,.518,3.4,4.2,.816,0.7,4.0,2.3,2.0,1.0,1.8,1.0,16.2
18,Kawhi Leonard,2019,27,TOR,SF,33,33,34.8,9.5,18.9,.502,1.7,4.7,.368,7.8,14.2,.547,.548,6.6,7.8,.848,1.2,6.6,3.1,1.9,0.5,2.0,1.5,27.3
19,Danny Green,2010,22,CLE,SG,20,0,5.8,0.8,2.0,.385,0.3,1.1,.273,0.5,0.9,.529,.462,0.2,0.3,.667,0.4,0.5,0.3,0.3,0.2,0.3,0.5,2.0
20,Danny Green,2011,23,SAS,SG,8,0,11.5,2.1,4.4,.486,0.9,2.4,.368,1.3,2.0,.625,.586,0.0,0.0,,0.4,1.5,0.3,0.3,0.1,0.6,0.9,5.1
21,Danny Green,2012,24,SAS,SG,66,38,23.1,3.2,7.2,.442,1.5,3.5,.436,1.7,3.7,.449,.549,1.2,1.5,.790,0.8,2.6,1.3,0.9,0.7,1.0,1.6,9.1
22,Danny Green,2013,25,SAS,SG,80,80,27.5,3.7,8.3,.448,2.2,5.2,.429,1.5,3.1,.480,.581,0.8,1.0,.848,0.5,2.6,1.8,1.2,0.7,1.2,1.6,10.5
23,Danny Green,2014,26,SAS,SG,68,59,24.3,3.2,7.4,.432,1.9,4.7,.415,1.3,2.8,.460,.562,0.7,0.9,.794,0.4,3.0,1.5,1.0,0.9,1.1,1.6,9.1
24,Danny Green,2015,27,SAS,SG,81,80,28.5,4.0,9.1,.436,2.4,5.6,.418,1.6,3.5,.466,.566,1.4,1.6,.874,0.7,3.6,2.0,1.2,1.1,1.1,2.0,11.7
25,Danny Green,2016,28,SAS,SG,79,79,26.1,2.7,7.1,.376,1.5,4.4,.332,1.2,2.7,.448,.480,0.4,0.6,.739,0.6,3.2,1.8,1.0,0.8,0.9,1.8,7.2
26,Danny Green,2017,29,SAS,SG,68,68,26.6,2.6,6.6,.392,1.7,4.6,.379,0.9,2.0,.420,.523,0.4,0.5,.844,0.5,2.8,1.8,1.0,0.8,1.1,1.8,7.3
27,Danny Green,2018,30,SAS,SG,70,60,25.6,3.1,8.0,.387,1.7,4.6,.363,1.4,3.4,.419,.490,0.7,0.9,.769,0.6,3.0,1.6,0.9,1.1,1.1,1.7,8.6
28,Danny Green,2019,31,TOR,SG,41,41,29.4,3.5,8.0,.437,2.2,5.3,.408,1.3,2.7,.495,.573,0.3,0.4,.933,1.0,3.2,1.2,0.9,0.8,1.1,2.5,9.5
29,Malachi Richardson,2017,21,SAC,SG,22,0,9.0,1.3,3.1,.412,0.4,1.3,.286,0.9,1.8,.500,.471,0.7,0.9,.789,0.1,0.9,0.5,0.2,0.0,0.4,1.0,3.6
30,Malachi Richardson,2018,22,TOT,SG,26,4,12.5,1.2,3.5,.333,0.5,1.5,.300,0.7,1.9,.360,.400,0.7,0.8,.773,0.2,1.1,0.5,0.4,0.0,0.4,1.0,3.4
31,Malachi Richardson,2019,23,TOR,SG,19,0,5.0,0.4,1.4,.308,0.4,1.2,.318,0.1,0.2,.250,.442,0.2,0.3,.800,0.1,0.6,0.0,0.1,0.0,0.4,0.7,1.4
32,Pascal Siakam,2017,22,TOR,PF,55,38,15.6,1.9,3.7,.502,0.0,0.1,.143,1.9,3.6,.515,.505,0.4,0.6,.688,1.2,2.2,0.3,0.5,0.8,0.6,2.0,4.2
33,Pascal Siakam,2018,23,TOR,PF,81,5,20.7,3.1,6.1,.508,0.4,1.6,.220,2.8,4.5,.612,.537,0.7,1.1,.621,1.0,3.5,2.0,0.8,0.5,0.8,2.0,7.3
34,Pascal Siakam,2019,24,TOR,PF,42,41,30.7,5.9,10.2,.576,0.7,2.1,.344,5.1,8.0,.638,.612,2.5,3.3,.781,1.5,5.2,2.8,1.0,0.7,1.8,3.0,15.0
35,OG Anunoby,2018,20,TOR,SF,74,62,20.0,2.2,4.7,.471,1.0,2.7,.371,1.2,2.0,.604,.577,0.5,0.8,.629,0.6,1.9,0.7,0.7,0.2,0.6,1.8,5.9
36,OG Anunoby,2019,21,TOR,SF,37,5,20.9,3.0,6.8,.437,1.2,3.5,.336,1.8,3.4,.540,.522,0.3,0.8,.367,0.8,2.2,0.7,0.6,0.3,0.7,2.1,7.4
37,C.J. Miles,2006,18,UTA,PG,23,0,8.8,1.2,3.3,.368,0.2,0.9,.250,1.0,2.4,.411,.401,0.8,1.0,.750,0.8,0.9,0.7,0.3,0.1,0.4,0.9,3.4
38,C.J. Miles,2007,19,UTA,SG,37,13,10.1,1.1,3.1,.345,0.2,0.9,.219,0.9,2.3,.393,.375,0.4,0.6,.609,0.3,0.6,0.7,0.3,0.1,0.8,1.6,2.7
39,C.J. Miles,2008,20,UTA,SG,60,13,11.5,1.9,3.9,.479,0.5,1.3,.390,1.4,2.7,.522,.542,0.7,0.9,.788,0.3,1.0,0.9,0.5,0.1,0.5,1.6,5.0
40,C.J. Miles,2009,21,UTA,SG,72,72,22.5,3.6,7.8,.459,0.9,2.5,.352,2.7,5.3,.509,.515,1.1,1.2,.876,0.6,1.7,1.5,0.6,0.2,0.9,2.6,9.1
41,C.J. Miles,2010,22,UTA,SF,63,28,23.8,3.8,8.9,.429,1.2,3.4,.341,2.7,5.5,.484,.495,1.0,1.5,.695,0.7,2.0,1.7,0.9,0.3,1.3,3.0,9.9
42,C.J. Miles,2011,23,UTA,SF,78,19,25.2,4.7,11.5,.407,1.4,4.3,.322,3.3,7.2,.459,.468,2.0,2.5,.811,0.7,2.6,1.7,0.9,0.5,1.2,2.8,12.8
43,C.J. Miles,2012,24,UTA,SG,56,14,20.4,3.2,8.3,.381,0.8,2.7,.307,2.3,5.6,.416,.430,1.9,2.4,.794,0.5,1.6,1.2,0.8,0.3,0.9,2.2,9.1
44,C.J. Miles,2013,25,CLE,SF,65,13,21.0,3.9,9.4,.415,1.9,5.0,.384,2.0,4.4,.451,.518,1.4,1.6,.869,0.4,2.3,1.0,0.8,0.3,1.1,2.1,11.2
45,C.J. Miles,2014,26,CLE,SG,51,34,19.3,3.5,8.0,.435,1.6,4.1,.393,1.9,3.9,.480,.537,1.3,1.5,.853,0.4,1.7,1.0,0.9,0.3,0.9,2.0,9.9
46,C.J. Miles,2015,27,IND,SG,70,40,26.3,4.7,11.8,.398,2.2,6.4,.345,2.5,5.4,.459,.491,1.9,2.3,.807,0.3,2.8,1.1,0.9,0.4,1.0,1.9,13.5
47,C.J. Miles,2016,28,IND,SF,64,24,22.9,4.0,9.9,.409,2.2,6.0,.367,1.8,3.9,.474,.521,1.5,1.9,.750,0.4,2.3,1.0,0.8,0.5,1.1,2.2,11.8
48,C.J. Miles,2017,29,IND,SF,76,29,23.4,3.7,8.5,.434,2.2,5.4,.413,1.5,3.1,.471,.565,1.1,1.2,.903,0.4,2.6,0.6,0.6,0.3,0.5,2.0,10.7
49,C.J. Miles,2018,30,TOR,SF,70,3,19.1,3.2,8.6,.379,2.3,6.5,.361,0.9,2.1,.434,.516,1.2,1.4,.835,0.3,1.9,0.8,0.5,0.3,0.6,1.9,10.0
50,C.J. Miles,2019,31,TOR,SF,32,1,14.4,1.6,5.1,.307,0.9,3.4,.278,0.6,1.7,.364,.399,0.8,1.0,.788,0.3,1.4,0.6,0.3,0.2,0.6,1.5,4.9
51,Kyle Lowry,2007,20,MEM,PG,10,0,17.5,1.4,3.8,.368,0.3,0.8,.375,1.1,3.0,.367,.408,2.5,2.8,.893,1.2,1.9,3.2,1.4,0.1,1.2,2.0,5.6
52,Kyle Lowry,2008,21,MEM,PG,82,9,25.5,3.1,7.2,.432,0.4,1.7,.257,2.7,5.5,.487,.463,3.0,4.2,.698,0.5,2.5,3.6,1.1,0.3,1.5,2.3,9.6
53,Kyle Lowry,2009,22,TOT,PG,77,21,21.8,2.5,5.6,.435,0.3,1.3,.255,2.1,4.4,.488,.464,2.4,2.9,.801,0.3,2.1,3.6,0.9,0.2,1.5,1.9,7.6
54,Kyle Lowry,2010,23,HOU,PG,68,0,24.3,2.7,6.8,.397,0.5,2.0,.272,2.2,4.8,.448,.436,3.2,3.8,.827,1.3,2.3,4.5,0.9,0.1,1.7,2.5,9.1
55,Kyle Lowry,2011,24,HOU,PG,75,71,34.2,4.6,10.8,.426,1.7,4.6,.376,2.9,6.2,.464,.506,2.6,3.3,.765,1.2,2.9,6.7,1.4,0.3,2.1,2.8,13.5
56,Kyle Lowry,2012,25,HOU,PG,47,38,32.1,4.5,10.9,.409,1.7,4.5,.374,2.8,6.4,.434,.486,3.6,4.2,.864,0.8,3.7,6.6,1.6,0.3,2.8,2.8,14.3
57,Kyle Lowry,2013,26,TOR,PG,68,52,29.7,3.7,9.2,.401,1.5,4.1,.362,2.2,5.1,.433,.482,2.8,3.5,.795,0.8,3.9,6.4,1.4,0.4,2.3,3.2,11.6
58,Kyle Lowry,2014,27,TOR,PG,79,79,36.2,5.8,13.7,.423,2.4,6.3,.380,3.4,7.3,.460,.511,4.0,4.9,.813,1.1,3.6,7.4,1.5,0.2,2.5,3.4,17.9
59,Kyle Lowry,2015,28,TOR,PG,70,70,34.5,6.1,14.9,.412,1.9,5.6,.338,4.3,9.3,.457,.476,3.6,4.5,.808,0.8,3.9,6.8,1.6,0.2,2.5,3.0,17.8
60,Kyle Lowry,2016,29,TOR,PG,77,77,37.0,6.6,15.6,.427,2.8,7.1,.388,3.9,8.5,.461,.516,5.2,6.4,.811,0.7,4.0,6.4,2.1,0.4,2.9,2.7,21.2
61,Kyle Lowry,2017,30,TOR,PG,60,60,37.4,7.1,15.3,.464,3.2,7.8,.412,3.9,7.5,.518,.569,5.0,6.1,.819,0.8,4.0,7.0,1.5,0.3,2.9,2.8,22.4
62,Kyle Lowry,2018,31,TOR,PG,78,78,32.2,5.2,12.1,.427,3.1,7.6,.399,2.1,4.5,.474,.553,2.9,3.3,.854,0.8,4.7,6.9,1.1,0.2,2.3,2.5,16.2
63,Kyle Lowry,2019,32,TOR,PG,32,32,34.0,4.9,11.4,.432,2.2,6.6,.325,2.8,4.8,.578,.526,2.4,2.8,.844,0.4,3.9,9.6,1.5,0.5,2.8,2.3,14.4
64,Serge Ibaka,2010,20,OKC,PF,73,0,18.1,2.8,5.1,.543,0.0,0.0,.500,2.7,5.0,.543,.545,0.8,1.3,.630,1.9,3.5,0.1,0.3,1.3,0.9,2.7,6.3
65,Serge Ibaka,2011,21,OKC,PF,82,44,27.0,4.1,7.5,.543,0.0,0.0,.000,4.1,7.5,.544,.543,1.7,2.2,.750,2.6,5.0,0.3,0.4,2.4,0.9,3.3,9.9
66,Serge Ibaka,2012,22,OKC,PF,66,66,27.2,4.0,7.4,.535,0.0,0.0,.333,4.0,7.4,.536,.536,1.2,1.8,.661,2.9,4.6,0.4,0.5,3.7,1.2,2.7,9.1
67,Serge Ibaka,2013,23,OKC,PF,80,80,31.1,5.6,9.7,.573,0.3,0.7,.351,5.3,9.0,.591,.586,1.8,2.4,.749,2.8,4.9,0.5,0.4,3.0,1.6,2.7,13.2
68,Serge Ibaka,2014,24,OKC,PF,81,81,32.9,6.5,12.1,.536,0.3,0.7,.383,6.2,11.3,.546,.548,1.9,2.5,.784,2.8,6.0,1.0,0.5,2.7,1.5,2.9,15.1
69,Serge Ibaka,2015,25,OKC,PF,64,64,33.1,5.8,12.3,.476,1.2,3.2,.376,4.6,9.1,.511,.525,1.4,1.7,.836,2.1,5.7,0.9,0.5,2.4,1.5,3.0,14.3
70,Serge Ibaka,2016,26,OKC,PF,78,78,32.1,5.3,11.1,.479,0.8,2.4,.326,4.6,8.8,.520,.513,1.2,1.6,.752,1.8,5.0,0.8,0.5,1.9,1.4,2.7,12.6
71,Serge Ibaka,2017,27,TOT,PF,79,79,30.7,6.0,12.4,.480,1.6,4.0,.391,4.4,8.4,.522,.543,1.4,1.6,.856,1.6,5.2,0.9,0.5,1.6,1.3,2.7,14.8
72,Serge Ibaka,2018,28,TOR,PF,76,76,27.5,5.0,10.3,.483,1.4,3.9,.360,3.6,6.4,.559,.552,1.2,1.6,.797,1.0,5.3,0.8,0.4,1.3,1.2,2.8,12.6
73,Serge Ibaka,2019,29,TOR,C,39,30,28.2,6.6,12.4,.536,0.8,2.6,.301,5.8,9.7,.600,.568,2.0,2.5,.806,1.9,5.4,1.5,0.5,1.4,1.9,3.1,16.1
74,Norman Powell,2016,22,TOR,SG,49,24,14.8,2.0,4.7,.424,0.7,1.8,.404,1.2,2.9,.436,.502,0.9,1.1,.811,0.3,1.9,1.0,0.6,0.2,0.7,1.2,5.6
75,Norman Powell,2017,23,TOR,SG,76,18,18.0,3.0,6.7,.449,0.7,2.3,.324,2.3,4.4,.514,.504,1.7,2.1,.792,0.3,1.9,1.1,0.7,0.2,0.9,1.7,8.4
76,Norman Powell,2018,24,TOR,SG,70,18,15.2,2.1,5.3,.401,0.8,2.7,.285,1.4,2.7,.516,.472,0.5,0.6,.821,0.2,1.5,1.3,0.5,0.2,0.9,1.6,5.5
77,Norman Powell,2019,25,TOR,SG,21,2,18.1,2.7,5.7,.467,0.9,2.6,.333,1.8,3.1,.576,.542,0.7,0.9,.833,0.1,2.0,1.3,0.6,0.3,0.8,1.6,6.9
78,Fred VanVleet,2017,22,TOR,PG,37,0,7.9,1.1,3.0,.351,0.3,0.8,.379,0.8,2.2,.341,.401,0.5,0.6,.818,0.1,1.0,0.9,0.4,0.1,0.4,1.0,2.9
79,Fred VanVleet,2018,23,TOR,PG,76,0,20.0,3.1,7.2,.426,1.4,3.4,.414,1.6,3.7,.437,.525,1.1,1.3,.832,0.3,2.1,3.2,0.9,0.3,1.0,1.7,8.6
80,Fred VanVleet,2019,24,TOR,PG,38,16,27.0,3.7,9.1,.403,1.7,4.6,.360,2.0,4.5,.448,.494,1.4,1.8,.821,0.4,2.3,4.5,0.9,0.2,1.3,1.7,10.5
81,Chris Boucher,2018,25,GSW,PF,1,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Chris Boucher,2019,26,TOR,PF,11,0,4.7,1.1,2.3,.480,0.7,1.5,.500,0.4,0.8,.444,.640,0.5,0.7,.750,0.5,0.9,0.0,0.2,1.2,0.2,0.8,3.5
83,Greg Monroe,2011,20,DET,C,80,48,27.8,3.8,6.9,.551,0.0,0.0,.000,3.8,6.9,.552,.551,1.8,2.9,.622,3.1,4.4,1.3,1.2,0.6,1.0,2.5,9.4
84,Greg Monroe,2012,21,DET,C,66,66,31.5,6.2,11.8,.521,0.0,0.0,.000,6.2,11.8,.522,.521,3.0,4.1,.739,3.6,6.0,2.3,1.3,0.7,2.4,2.7,15.4
85,Greg Monroe,2013,22,DET,C,81,81,33.2,6.3,13.1,.486,0.0,0.0,.000,6.3,13.0,.488,.486,3.3,4.8,.689,2.9,6.7,3.5,1.3,0.7,2.9,2.3,16.0
86,Greg Monroe,2014,23,DET,PF,82,82,32.8,6.1,12.4,.497,0.0,0.0,.000,6.1,12.4,.497,.497,2.9,4.5,.657,3.1,6.1,2.1,1.1,0.6,2.0,2.5,15.2
87,Greg Monroe,2015,24,DET,PF,69,57,31.0,6.1,12.4,.496,0.0,0.0,,6.1,12.4,.496,.496,3.7,4.9,.750,3.3,6.9,2.1,1.1,0.5,2.2,2.1,15.9
88,Greg Monroe,2016,25,MIL,C,79,67,29.3,6.2,11.9,.522,0.0,0.0,.000,6.2,11.9,.522,.522,2.9,3.9,.740,2.8,6.1,2.3,0.9,0.8,1.6,2.1,15.3
89,Greg Monroe,2017,26,MIL,C,81,0,22.5,4.8,9.0,.533,0.0,0.0,.000,4.8,8.9,.536,.533,2.2,3.0,.741,2.1,4.5,2.3,1.1,0.5,1.7,2.1,11.7
90,Greg Monroe,2018,27,TOT,C,51,14,20.4,4.3,7.6,.565,0.0,0.0,,4.3,7.6,.565,.565,1.7,2.3,.739,2.1,4.7,2.2,0.9,0.5,1.8,1.9,10.3
91,Greg Monroe,2019,28,TOR,C,26,2,11.2,2.0,4.4,.456,0.0,0.1,.000,2.0,4.3,.468,.456,0.9,1.4,.622,1.7,2.5,0.3,0.3,0.2,0.7,1.5,4.9
92,Jordan Loyd,2019,25,TOR,PG,3,0,5.7,1.0,1.0,1.000,0.7,0.7,1.000,0.3,0.3,1.000,1.333,1.3,1.3,1.000,0.3,1.3,0.3,0.0,0.0,0.3,0.7,4.0
93,Eric Bledsoe,2011,21,LAC,PG,81,25,22.7,2.5,6.0,.424,0.4,1.4,.276,2.1,4.6,.470,.457,1.2,1.6,.744,0.8,1.9,3.6,1.1,0.3,2.4,1.6,6.7
94,Eric Bledsoe,2012,22,LAC,PG,40,1,11.6,1.2,3.2,.389,0.2,0.8,.200,1.1,2.4,.448,.413,0.7,1.1,.636,0.6,1.1,1.7,0.8,0.4,1.2,1.5,3.3
95,Eric Bledsoe,2013,23,LAC,PG,76,12,20.4,3.3,7.5,.445,0.4,1.0,.397,2.9,6.4,.453,.473,1.4,1.8,.791,1.0,1.9,3.1,1.4,0.7,1.8,1.5,8.5
96,Eric Bledsoe,2014,24,PHO,PG,43,40,32.9,6.2,12.9,.477,1.2,3.3,.357,5.0,9.7,.517,.522,4.3,5.5,.772,0.6,4.1,5.5,1.6,0.3,3.3,2.3,17.7
97,Eric Bledsoe,2015,25,PHO,PG,81,81,34.6,5.8,12.9,.447,1.1,3.4,.324,4.7,9.6,.491,.489,4.4,5.4,.800,0.9,4.3,6.1,1.6,0.6,3.4,2.3,17.0
98,Eric Bledsoe,2016,26,PHO,PG,31,31,34.2,7.2,15.9,.453,1.5,4.2,.372,5.6,11.7,.482,.502,4.5,5.5,.802,0.6,3.5,6.1,2.0,0.6,3.5,2.4,20.4
99,Eric Bledsoe,2017,27,PHO,PG,66,66,33.0,6.8,15.7,.434,1.6,4.7,.335,5.2,11.0,.477,.485,5.9,6.9,.847,0.8,4.1,6.3,1.4,0.5,3.4,2.5,21.1
100,Eric Bledsoe,2018,28,TOT,PG,74,74,31.4,6.3,13.4,.473,1.7,4.9,.347,4.6,8.5,.545,.536,3.4,4.3,.795,0.7,3.1,5.0,2.0,0.6,2.9,2.5,17.7
101,Eric Bledsoe,2019,29,MIL,PG,40,40,29.5,5.8,11.8,.490,1.4,4.5,.315,4.4,7.3,.597,.550,2.1,2.7,.752,1.0,3.4,5.5,1.4,0.4,2.3,2.3,15.0
102,Giannis Antetokounmpo,2014,19,MIL,SF,77,23,24.6,2.2,5.4,.414,0.5,1.5,.347,1.7,3.9,.440,.463,1.8,2.6,.683,1.0,3.4,1.9,0.8,0.8,1.6,2.2,6.8
103,Giannis Antetokounmpo,2015,20,MIL,SG,81,71,31.4,4.7,9.6,.491,0.1,0.5,.159,4.6,9.1,.511,.496,3.2,4.3,.741,1.2,5.5,2.6,0.9,1.0,2.1,3.1,12.7
104,Giannis Antetokounmpo,2016,21,MIL,PG,80,79,35.3,6.4,12.7,.506,0.4,1.4,.257,6.1,11.3,.537,.520,3.7,5.1,.724,1.4,6.2,4.3,1.2,1.4,2.6,3.2,16.9
105,Giannis Antetokounmpo,2017,22,MIL,SF,80,80,35.6,8.2,15.7,.521,0.6,2.3,.272,7.6,13.5,.563,.541,5.9,7.7,.770,1.8,7.0,5.4,1.6,1.9,2.9,3.1,22.9
106,Giannis Antetokounmpo,2018,23,MIL,PF,75,75,36.7,9.9,18.7,.529,0.6,1.9,.307,9.3,16.8,.554,.545,6.5,8.5,.760,2.1,8.0,4.8,1.5,1.4,3.0,3.1,26.9
107,Giannis Antetokounmpo,2019,24,MIL,PF,38,38,33.6,9.9,17.1,.581,0.4,2.4,.167,9.6,14.8,.647,.592,6.3,9.0,.699,2.4,10.4,6.0,1.3,1.5,4.1,3.4,26.6
108,Khris Middleton,2013,21,DET,SG,27,0,17.6,2.3,5.2,.440,0.5,1.7,.311,1.8,3.6,.500,.489,1.0,1.2,.844,0.1,1.7,1.0,0.6,0.1,0.4,2.0,6.1
109,Khris Middleton,2014,22,MIL,SF,82,64,30.0,4.6,10.4,.440,1.5,3.5,.414,3.1,6.9,.454,.511,1.4,1.7,.861,0.7,3.0,2.1,1.0,0.2,1.5,3.0,12.1
110,Khris Middleton,2015,23,MIL,SF,79,58,30.1,5.1,11.0,.467,1.4,3.4,.407,3.8,7.6,.494,.530,1.7,2.0,.859,0.6,3.8,2.3,1.5,0.1,1.4,2.3,13.4
111,Khris Middleton,2016,24,MIL,SG,79,79,36.1,6.4,14.5,.444,1.8,4.6,.396,4.6,9.9,.466,.507,3.5,3.9,.888,0.6,3.3,4.2,1.7,0.2,2.3,2.6,18.2
112,Khris Middleton,2017,25,MIL,SF,29,23,30.7,5.2,11.5,.450,1.6,3.6,.433,3.6,7.9,.459,.518,2.8,3.2,.880,0.4,3.9,3.4,1.4,0.2,2.2,2.7,14.7
113,Khris Middleton,2018,26,MIL,SF,82,82,36.4,7.2,15.5,.466,1.8,5.0,.359,5.5,10.5,.517,.524,3.9,4.4,.884,0.5,4.7,4.0,1.5,0.3,2.3,3.3,20.1
114,Khris Middleton,2019,27,MIL,SF,38,38,31.2,6.1,14.1,.435,2.6,6.7,.384,3.6,7.4,.480,.526,2.8,3.3,.849,0.4,5.1,4.2,1.2,0.1,2.2,2.6,17.7
115,Jason Smith,2009,21,PHI,PF,76,1,14.6,1.9,4.1,.455,0.1,0.2,.286,1.8,3.9,.463,.461,0.7,1.1,.659,1.0,2.0,0.3,0.3,0.7,0.6,1.9,4.5
116,Jason Smith,2010,23,PHI,PF,56,2,11.8,1.3,3.1,.431,0.2,0.5,.345,1.2,2.6,.448,.460,0.5,0.8,.690,1.0,1.4,0.6,0.4,0.5,0.6,2.0,3.4
117,Jason Smith,2011,24,NOH,C,77,6,14.3,1.8,4.0,.443,0.0,0.0,.000,1.8,4.0,.446,.443,0.8,0.9,.843,1.2,2.0,0.5,0.3,0.4,0.7,1.9,4.3
118,Jason Smith,2012,25,NOH,PF,40,29,23.7,4.5,8.7,.520,0.0,0.2,.111,4.5,8.5,.531,.522,0.8,1.2,.702,1.8,3.1,0.9,0.5,1.0,1.0,2.6,9.9
119,Jason Smith,2013,26,NOH,C,51,0,17.2,3.3,6.7,.490,0.0,0.1,.000,3.3,6.6,.496,.490,1.7,2.0,.843,1.3,2.4,0.7,0.3,0.9,1.1,2.4,8.2
120,Jason Smith,2014,27,NOP,PF,31,27,26.8,4.2,9.1,.465,0.0,0.0,,4.2,9.1,.465,.465,1.3,1.6,.780,1.6,4.2,0.9,0.4,0.9,0.9,3.2,9.7
121,Jason Smith,2015,28,NYK,C,82,31,21.8,3.1,7.2,.434,0.2,0.5,.357,3.0,6.7,.440,.447,1.5,1.9,.830,1.2,2.8,1.7,0.4,0.5,1.3,2.5,8.0
122,Jason Smith,2016,29,ORL,C,76,2,15.5,3.2,6.6,.485,0.1,0.2,.250,3.2,6.4,.493,.489,0.7,0.9,.806,0.7,2.2,0.8,0.4,0.9,0.8,2.1,7.2
123,Jason Smith,2017,30,WAS,C,74,3,14.4,2.4,4.4,.529,0.5,1.1,.474,1.9,3.4,.546,.585,0.5,0.7,.686,0.9,2.6,0.5,0.3,0.7,0.8,2.3,5.7
124,Jason Smith,2018,31,WAS,C,33,2,8.6,1.4,3.5,.391,0.1,1.0,.125,1.2,2.5,.494,.409,0.6,0.6,.905,0.5,1.1,0.4,0.1,0.4,0.5,1.3,3.4
